,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
398,Alofi,33,NU,1604380488,78,-19.06,-169.92,78.8,17.22
400,Pitimbu,40,BR,1604380490,88,-7.47,-34.81,77.0,1.12
404,Mitsamiouli,4,KM,1604380495,77,-11.38,43.28,78.19,12.5
409,Tevaitoa,2,PF,1604380502,77,-16.78,-151.5,80.82,18.05
414,Gunnedah,0,AU,1604380509,34,-30.98,150.25,78.8,6.93
416,Teahupoo,20,PF,1604380512,58,-17.83,-149.27,82.4,12.75
427,Trelew,100,AR,1604380526,22,-43.25,-65.31,80.01,16.26
428,Saint-Leu,90,RE,1604380527,50,-21.15,55.28,78.8,19.46
435,Piñas,76,EC,1604380536,76,-3.67,-79.65,61.83,1.12
438,Maceió,75,BR,1604380540,88,-9.67,-35.74,77.0,6.93
444,Kiunga,100,PG,1604380548,66,-6.12,141.29,85.1,1.32
451,Phalombe,51,MW,1604380557,73,-15.81,35.65,73.72,3.62
453,Yulara,0,AU,1604380560,11,-25.24,130.99,100.4,5.82
454,Djambala,100,CG,1604380561,98,-2.54,14.75,66.78,1.34
455,Mareeba,73,AU,1604380563,42,-17.0,145.43,89.01,7.0
459,Manta,75,EC,1604380568,83,-0.95,-80.73,73.4,5.82
463,Voi,62,KE,1604380573,74,-3.39,38.56,73.71,5.37
468,Kawalu,41,ID,1604380580,45,-7.38,108.21,88.72,5.97
469,Inhambane,20,MZ,1604380581,65,-23.86,35.38,78.8,2.24
470,Manakara,92,MG,1604380582,67,-22.13,48.02,73.24,6.26
474,Alvorada,67,BR,1604380588,95,-12.48,-49.12,71.6,1.12
475,Viloco,60,BO,1604380589,86,-16.95,-67.55,41.74,4.61
479,Manono,90,CD,1604380594,94,-7.3,27.42,71.65,3.51
487,Lodja,100,CD,1604380604,95,-3.48,23.43,70.34,0.96
489,Majene,68,ID,1604380607,61,-3.54,118.97,86.07,6.4
492,Lucapa,59,AO,1604380611,96,-8.42,20.74,66.25,2.68
499,Roebourne,0,AU,1604380620,25,-20.78,117.13,91.18,12.33
508,Ancud,90,CL,1604380631,93,-41.87,-73.82,50.0,2.24
512,Senanga,49,ZM,1604380636,47,-16.12,23.27,72.18,5.61
515,Walvis Bay,90,NA,1604380640,82,-22.96,14.51,57.99,4.7
516,Alta Floresta,54,BR,1604380642,95,-9.88,-56.09,70.12,1.01
517,Te Anau,0,NZ,1604380643,43,-45.42,167.72,66.87,2.13
518,Kansanshi,5,ZM,1604380644,59,-12.1,26.43,69.21,3.02
523,Auki,100,SB,1604380650,89,-8.77,160.7,76.82,3.98
